,Age,Cabin,Fare,Pclass,Survived,Embarked_0,Embarked_1,Embarked_2,Sex_0,Sex_1,Title,Title_-1,Title_0,Title_1,Title_2,Title_3,Title_4,Title_5,Name_length,Fare_0,Fare_1,Fare_2,Fare_3,Fare_4,Family_Size,Family_Size_Category_0,Family_Size_Category_1,Family_Size_Category_2
0,-0.5862546971341395,0,-0.5541770873201172,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,-0.4346722310760017,1,0,0,0,0,2,0,0,1
1,0.6016197946235099,1,1.5418688106468892,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,2.5118057813888788,0,1,0,0,0,2,0,0,1
2,-0.2892860741947271,0,-0.5043444435277441,3,1,1,0,0,0,1,2,0,0,0,1,0,0,0,-0.5399035886640332,0,0,1,0,0,1,0,1,0
3,0.3788933274189506,1,0.8706673944469947,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1.7751862782726588,0,1,0,0,0,2,0,0,1
4,0.3788933274189506,0,-0.4951161761587861,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,-0.3294408734879703,0,0,1,0,0,1,0,1,0
5,0.40323720033487775,0,-0.4649729636248218,3,0,0,0,1,1,0,0,0,1,0,0,0,0,0,-1.171291734192222,0,0,1,0,0,1,0,1,0
6,1.7894942863811591,1,0.8249874709706526,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,-0.4346722310760017,0,0,0,1,0,1,0,1,0
7,-2.071097811831201,0,-0.778239419038417,3,0,1,0,0,1,0,3,0,0,0,0,1,0,0,0.30194727204021843,0,0,0,0,1,5,1,0,0
8,-0.21504391845987406,0,-0.8154404104561603,3,1,1,0,0,0,1,1,0,0,1,0,0,0,0,2.3013430662128163,0,0,0,0,1,3,0,0,1
9,-1.1801919430129642,0,0.0205889348741663,2,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0.8281040599803757,0,0,0,1,0,2,0,0,1
10,-1.922613500361495,1,-0.6784510878887513,3,1,1,0,0,0,1,2,0,0,0,1,0,0,0,0.4071786296282499,0,0,0,0,1,3,0,0,1
